!RNX Dual-Polarized Feed Calibration Data,,,,,,,
!Created: 20250720T124420ZZ,,,,,,,
!Operator: DL&TRH,,,,,,,
!Equipment:,,,,,,,
!  Signal_Generator: PLASG-T8G40G_SN:未知,,,,,,,
!  Spectrum_Analyzer: NRP50S_SN:未知,,,,,,,
!  Antenna: RNX_ANT_SN:SN00000,,,,,,,
!Environment: 25.0C, 50.0%RH,,,,,,
!Frequency:,,,,,,,
!  Start: 8.0 GHz,,,,,,,
!  Stop: 40.0 GHz,,,,,,,
!  Step: FreqList GHz,,,,,,,
!  Points: 81,,,,,,,
!Data Columns:,,,,,,,
!  1: Frequency(GHz),,,,,,,
!  2: Theta(dB),,,,,,,
!  3: Phi(dB),,,,,,,
!  4: Horn_Gain(GHz),,,,,,,
!  5: Theta_corrected(dB),,,,,,,
!  6: Phi_corrected(dB),,,,,,,
!  7: Phi_corrected(dB),,,,,,,
!  8: Phi_corrected(dB),,,,,,,
!VersionNotes: ref_PowerList:[X:-20.0dBm/KU:-15dBm/K:-30dbm/KA:--20.0dBm](FreqList),,,,,,,
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
8,11.18,11.76,12.07061,-0.89061,-0.31061,16.55534488,17.69857222
8.309071,11.01,10.66,12.58183238,-1.571832377,-1.921832377,15.89789398,15.27001967
8.348568,10.64,10.88,12.60957902,-1.96957902,-1.72957902,15.25849793,15.68598456
8.728139,9.7,10.2,13.010578044499999,-3.310578044,-2.810578044,13.67009388,14.48009786
8.750349,9.66,10.32,13.0000394,-3.3400394,-2.6800394,13.65847305,14.73676473
8.753542,9.64,10.34,12.99852432,-3.358524321,-2.658524321,13.63440999,14.77870394
9.175874,8.56,9.25,12.683170559199999,-4.123170559,-3.433170559,13.0878304,14.16992849
9.185137,8.59,9.21,12.67289604,-4.08289604,-3.46289604,13.16193015,14.13577363
9.645575,7.54,7.27,12.52840848,-4.988408477,-5.258408478,12.45335716,12.07220061
9.654768,7.7,7.26,12.519966545599999,-4.819966546,-5.259966546,12.70931841,12.081539
10.113841,6.28,5.58,11.55277989,-5.272779888,-5.972779888,12.6373459,11.65885424
10.137307,5.92,5.34,11.54208174,-5.622081739,-6.202081739,12.1673852,11.38144115
10.167581,5.44,4.98,11.52827982,-6.088279822,-6.548279822,11.56597888,10.96938792
