!RNX Dual-Polarized Feed Calibration Data
!Created: 20250720T123953ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:未知
!  Spectrum_Analyzer: NRP50S_SN:未知
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 27.064712 GHz
!  Stop: 40.0 GHz
!  Step: NONE GHz
!  Points: 29
!Data Columns:
!  1: Frequency(GHz)
!  2: X_Theta(dB)
!  3: X_Phi(dB)
!  4: Ku_Theta(dB)
!  5: Ku_Phi(dB)
!  6: K_Theta(dB)
!  7: K_Phi(dB)
!  8: Ka_Theta(dB)
!  9: Ka_Phi(dB)
Frequency(GHz),X_Theta,X_Phi,Ku_Theta,Ku_Phi,K_Theta,K_Phi,Ka_Theta,Ka_Phi
!VersionNotes: 参考功率: -30.0dBm (频点列表模式)
27.064712,-5.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27.628446,-5.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.000000,-5.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.500000,-5.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29.121741,-5.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29.657029,-5.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.000000,-5.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.500000,-6.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31.000000,-6.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31.392694,-6.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31.889133,-7.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.500000,-8.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33.000000,-7.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33.500000,-7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33.906128,-7.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34.350931,-7.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35.000000,-7.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35.500000,-8.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36.000000,-6.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36.500000,-7.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36.695304,-7.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37.072739,-7.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37.500000,-8.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38.000000,-8.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38.500000,-9.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39.000000,-10.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39.500000,-11.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39.799112,-12.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40.000000,-11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00
