!RNX Dual-Polarized Feed Calibration Data
!Created: 20250721T141503ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 8.0 GHz
!  Stop: 11.941833 GHz
!  Step: NONE GHz
!  Points: 19
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(dB)
!  8: Phi_corrected_V/M(dB)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: 参考功率: -30.0dBm (频点列表模式)
8.000000,-58.52,-58.54,12.07061,-28.52,-28.54,0.24,0.24
8.309071,-58.70,-58.62,12.58183,-28.70,-28.62,0.25,0.25
8.348568,-58.60,-58.60,12.60958,-28.60,-28.60,0.25,0.25
8.728139,-58.45,-58.49,13.01058,-28.45,-28.49,0.27,0.27
8.750349,-58.61,-58.80,13.00004,-28.61,-28.80,0.27,0.26
8.753542,-58.74,-58.71,12.99852,-28.74,-28.71,0.26,0.27
9.175874,-58.77,-58.73,12.68317,-28.77,-28.73,0.27,0.27
9.185137,-58.40,-57.69,12.67290,-28.40,-27.69,0.29,0.31
9.645575,-57.76,-58.45,12.52841,-27.76,-28.45,0.32,0.30
9.654768,-58.40,-58.39,12.51997,-28.40,-28.39,0.30,0.30
10.113841,-58.37,-58.19,11.55278,-28.37,-28.19,0.30,0.31
10.137307,-58.26,-58.56,11.54208,-28.26,-28.56,0.31,0.30
10.167581,-58.53,-58.51,11.52828,-28.53,-28.51,0.30,0.30
10.663038,-58.61,-58.60,12.22652,-28.61,-28.60,0.32,0.32
10.717369,-58.62,-58.79,12.30633,-28.62,-28.79,0.32,0.31
11.225756,-58.54,-58.52,11.70414,-28.54,-28.52,0.33,0.33
11.307529,-58.66,-58.66,11.56429,-28.66,-28.66,0.33,0.33
11.828772,-58.77,-58.55,11.85975,-28.77,-28.55,0.34,0.35
11.941833,-58.55,-58.68,11.95841,-28.55,-28.68,0.35,0.35
