!RNX Dual-Polarized Feed Calibration Data,,
!Created: 20250720T124420ZZ,,
!Operator: 操作员名�?,,
!Equipment:,,
!  Signal_Generator: PLASG-T8G40G_SN:未知,,
!  Spectrum_Analyzer: NRP50S_SN:未知,,
!  Antenna: RNX_ANT_SN:SN00000,,
!Environment: 25.0C, 50.0%RH,
!Frequency:,,
!  Start: 8.0 GHz,,
!  Stop: 40.0 GHz,,
!  Step: NONE GHz,,
!  Points: 81,,
!Data Columns:,,
!  1: Frequency(GHz),,
!  2: Theta(dB),,
!  3: Phi(dB),,
!VersionNotes: ref_Power:-30.0dBm (FreqList),,
Frequency(GHz),Theta,Phi
8.000000 ,11.18 ,11.76 
8.309071 ,11.01 ,10.66 
8.348568 ,10.64 ,10.88 
8.728139 ,9.70 ,10.20 
8.750349 ,9.66 ,10.32 
8.753542 ,9.64 ,10.34 
9.175874 ,8.56 ,9.25 
9.185137 ,8.59 ,9.21 
9.645575 ,7.54 ,7.27 
9.654768 ,7.70 ,7.26 
10.113841 ,6.28 ,5.58 
10.137307 ,5.92 ,5.34 
10.167581 ,5.44 ,4.98 
10.663038 ,4.56 ,5.15 
10.717369 ,4.48 ,5.25 
11.225756 ,4.73 ,4.61 
11.307529 ,4.07 ,3.62 
11.828772 ,3.77 ,4.24 
11.941833 ,4.40 ,4.60 
12.475760 ,3.70 ,3.21 
12.624490 ,3.07 ,3.56 
13.170800 ,2.43 ,2.01 
13.360197 ,2.32 ,2.07 
13.918437 ,1.19 ,1.20 
14.154209 ,0.74 ,0.75 
14.723743 ,-0.72 ,-0.55 
15.012421 ,-2.01 ,-1.71 
15.592385 ,-4.55 ,-5.01 
15.941456 ,-4.30 ,-3.20 
16.530715 ,-2.11 ,-2.05 
16.948774 ,-2.75 ,-2.82 
17.545861 ,-1.22 ,-0.96 
18.042799 ,-2.21 ,-2.51 
18.645848 ,-1.72 ,-1.70 
19.233068 ,-1.15 ,-1.39 
19.500000 ,-2.17 ,-2.36 
19.839727 ,-1.94 ,-2.34 
20.000000 ,-2.72 ,-3.09 
20.530405 ,-2.72 ,-2.61 
21.137731 ,-2.80 ,-2.69 
21.500000 ,-3.05 ,-3.11 
21.947126 ,-3.27 ,-2.97 
22.551463 ,-3.56 ,-4.04 
23.000000 ,-4.15 ,-4.10 
23.497291 ,-5.00 ,-4.81 
24.094111 ,-4.78 ,-5.07 
24.500000 ,-4.28 ,-4.27 
25.000000 ,-5.23 ,-5.43 
25.196992 ,-5.96 ,-5.53 
25.780710 ,-6.06 ,-6.36 
26.000000 ,-5.25 ,-5.16 
26.500000 ,-5.39 ,-5.34 
27.064712 ,-5.95 ,-6.35 
27.628446 ,-5.81 ,-6.49 
28.000000 ,-5.52 ,-6.12 
28.500000 ,-5.76 ,-6.32 
29.121741 ,-5.54 ,-5.67 
29.657029 ,-5.38 ,-6.33 
30.000000 ,-5.84 ,-6.21 
30.500000 ,-6.48 ,-6.81 
31.000000 ,-6.87 ,-7.19 
31.392694 ,-6.69 ,-7.32 
31.889133 ,-7.33 ,-7.68 
32.500000 ,-8.08 ,-8.08 
33.000000 ,-7.49 ,-7.49 
33.500000 ,-7.83 ,-8.25 
33.906128 ,-7.49 ,-7.83 
34.350931 ,-7.17 ,-7.49 
35.000000 ,-7.91 ,-8.18 
35.500000 ,-8.05 ,-8.24 
36.000000 ,-6.98 ,-7.60 
36.500000 ,-7.75 ,-8.24 
36.695304 ,-7.95 ,-8.07 
37.072739 ,-7.85 ,-7.85 
37.500000 ,-8.58 ,-8.86 
38.000000 ,-8.54 ,-8.88 
38.500000 ,-9.46 ,-9.78 
39.000000 ,-10.34 ,-10.34 
39.500000 ,-11.35 ,-11.47 
39.799112 ,-12.18 ,-12.33 
40.000000 ,-11.76 ,-12.06 
