!RNX Dual-Polarized Feed Calibration Data
!Created: 20250722T084635ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 27.064712 GHz
!  Stop: 40.0 GHz
!  Step: FREQLIST GHz
!  Points: 29
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: REF_POWER-10.0dBm
27.064712,-14.94,-14.93,19.08095,-34.02,-34.01,3.91,3.91
27.628446,-14.79,-14.79,19.00572,-33.80,-33.79,4.09,4.10
28.000000,-14.14,-14.14,19.03009,-33.17,-33.17,4.46,4.46
28.500000,-14.53,-14.53,19.09020,-33.62,-33.62,4.31,4.31
29.121741,-14.15,-14.15,19.30207,-33.45,-33.45,4.49,4.49
29.657029,-14.40,-14.39,19.50541,-33.90,-33.90,4.34,4.34
30.000000,-13.99,-13.99,19.52998,-33.52,-33.52,4.59,4.59
30.500000,-14.56,-14.55,19.51129,-34.07,-34.06,4.38,4.39
31.000000,-14.97,-14.97,19.28990,-34.26,-34.26,4.36,4.36
31.392694,-15.36,-15.36,19.31741,-34.67,-34.67,4.21,4.21
31.889133,-16.21,-16.21,19.49995,-35.71,-35.71,3.79,3.79
32.500000,-16.90,-16.90,19.71809,-36.62,-36.62,3.48,3.48
33.000000,-16.23,-16.23,19.76418,-36.00,-35.99,3.80,3.80
33.500000,-17.48,-17.47,19.91022,-37.39,-37.38,3.28,3.29
33.906128,-16.86,-16.86,20.07389,-36.93,-36.93,3.50,3.50
34.350931,-16.67,-16.67,20.30938,-36.98,-36.98,3.53,3.53
35.000000,-16.88,-16.88,20.59567,-37.47,-37.48,3.40,3.40
35.500000,-17.37,-17.37,20.80672,-38.18,-38.18,3.18,3.18
36.000000,-16.78,-16.78,20.76061,-37.54,-37.54,3.47,3.47
36.500000,-17.77,-17.77,20.72013,-38.49,-38.49,3.15,3.15
36.695304,-17.46,-17.46,20.76471,-38.23,-38.23,3.27,3.27
37.072739,-16.85,-16.84,20.93750,-37.78,-37.78,3.47,3.47
37.500000,-18.55,-18.55,21.17842,-39.73,-39.73,2.81,2.81
38.000000,-18.03,-18.03,21.43463,-39.46,-39.46,2.93,2.93
38.500000,-19.87,-19.86,21.57824,-41.44,-41.44,2.37,2.37
39.000000,-21.00,-21.00,21.59140,-42.59,-42.59,2.10,2.10
39.500000,-23.68,-23.67,21.76028,-45.44,-45.44,1.53,1.53
39.799112,-24.46,-24.46,21.83663,-46.30,-46.30,1.40,1.40
40.000000,-24.58,-24.57,21.89330,-46.47,-46.47,1.38,1.38
!EndOfData: 2025-07-22T08:46:49Z
!Notes: The calibration file for actual calibrated output
!MD5: 4a0e9a699bb58375373de94c237d2bc9
