!RNX Dual-Polarized Feed Calibration Data
!Created: 20250722T084701ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 27.064712 GHz
!  Stop: 40.0 GHz
!  Step: FREQLIST GHz
!  Points: 29
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: REF_POWER0.0dBm
27.064712,-5.08,-5.08,19.08095,-24.16,-24.16,12.16,12.17
27.628446,-4.98,-4.98,19.00572,-23.99,-23.99,12.66,12.66
28.000000,-4.33,-4.32,19.03009,-23.36,-23.35,13.80,13.81
28.500000,-4.90,-4.90,19.09020,-23.99,-23.99,13.06,13.06
29.121741,-4.34,-4.33,19.30207,-23.64,-23.64,13.90,13.90
29.657029,-4.57,-4.57,19.50541,-24.08,-24.08,13.46,13.46
30.000000,-4.18,-4.18,19.52998,-23.71,-23.71,14.20,14.20
30.500000,-4.79,-4.79,19.51129,-24.30,-24.30,13.48,13.49
31.000000,-5.36,-5.36,19.28990,-24.65,-24.65,13.16,13.17
31.392694,-5.56,-5.56,19.31741,-24.88,-24.88,12.99,12.99
31.889133,-6.65,-6.65,19.49995,-26.15,-26.15,11.39,11.39
32.500000,-7.26,-7.25,19.71809,-26.98,-26.97,10.56,10.57
33.000000,-6.52,-6.52,19.76418,-26.28,-26.28,11.61,11.61
33.500000,-7.82,-7.81,19.91022,-27.73,-27.72,9.99,9.99
33.906128,-7.26,-7.26,20.07389,-27.33,-27.33,10.58,10.58
34.350931,-7.06,-7.05,20.30938,-27.37,-27.36,10.67,10.68
35.000000,-7.11,-7.11,20.59567,-27.71,-27.71,10.45,10.46
35.500000,-7.63,-7.62,20.80672,-28.43,-28.43,9.76,9.76
36.000000,-7.03,-7.03,20.76061,-27.80,-27.79,10.65,10.65
36.500000,-8.04,-8.03,20.72013,-28.76,-28.75,9.66,9.67
36.695304,-7.88,-7.88,20.76471,-28.65,-28.65,9.84,9.84
37.072739,-7.05,-7.04,20.93750,-27.99,-27.98,10.73,10.73
37.500000,-8.62,-8.61,21.17842,-29.80,-29.79,8.81,8.81
38.000000,-8.04,-8.04,21.43463,-29.47,-29.47,9.26,9.27
38.500000,-9.77,-9.76,21.57824,-31.35,-31.34,7.57,7.57
39.000000,-11.06,-11.05,21.59140,-32.65,-32.65,6.59,6.60
39.500000,-13.58,-13.58,21.76028,-35.34,-35.34,4.90,4.90
39.799112,-14.24,-14.24,21.83663,-36.08,-36.08,4.53,4.53
40.000000,-14.63,-14.63,21.89330,-36.53,-36.52,4.33,4.33
!EndOfData: 2025-07-22T08:47:17Z
!Notes: The calibration file for actual calibrated output
!MD5: 87d941775a1b0c8767a69074b7a0612b
