!RNX Dual-Polarized Feed Calibration Data
!Created: 20250722T085107ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 27.064712 GHz
!  Stop: 40.0 GHz
!  Step: FREQLIST GHz
!  Points: 29
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: REF_POWER0.0dBm
27.064712,-4.89,-4.89,19.08095,-23.97,-23.97,12.43,12.44
27.628446,-4.25,-4.25,19.00572,-23.26,-23.25,13.78,13.78
28.000000,-3.65,-3.65,19.03009,-22.68,-22.68,14.92,14.93
28.500000,-3.74,-3.74,19.09020,-22.83,-22.83,14.92,14.92
29.121741,-4.15,-4.15,19.30207,-23.46,-23.45,14.19,14.20
29.657029,-3.70,-3.70,19.50541,-23.21,-23.21,14.87,14.87
30.000000,-4.58,-4.57,19.52998,-24.11,-24.10,13.57,13.57
30.500000,-4.53,-4.53,19.51129,-24.05,-24.05,13.89,13.89
31.000000,-5.24,-5.23,19.28990,-24.53,-24.52,13.36,13.36
31.392694,-4.86,-4.86,19.31741,-24.18,-24.18,14.07,14.07
31.889133,-6.11,-6.11,19.49995,-25.61,-25.61,12.13,12.13
32.500000,-8.02,-8.01,19.71809,-27.73,-27.73,9.68,9.68
33.000000,-6.87,-6.86,19.76418,-26.63,-26.63,11.16,11.16
33.500000,-7.03,-7.03,19.91022,-26.94,-26.94,10.94,10.94
33.906128,-6.71,-6.71,20.07389,-26.78,-26.78,11.27,11.27
34.350931,-7.13,-7.13,20.30938,-27.44,-27.44,10.58,10.58
35.000000,-6.98,-6.97,20.59567,-27.57,-27.57,10.62,10.62
35.500000,-7.79,-7.79,20.80672,-28.60,-28.60,9.57,9.57
36.000000,-6.63,-6.63,20.76061,-27.39,-27.39,11.16,11.16
36.500000,-7.18,-7.18,20.72013,-27.90,-27.90,10.66,10.66
36.695304,-8.11,-8.11,20.76471,-28.87,-28.87,9.59,9.59
37.072739,-7.32,-7.32,20.93750,-28.26,-28.26,10.40,10.40
37.500000,-8.52,-8.52,21.17842,-29.70,-29.70,8.91,8.91
38.000000,-8.35,-8.35,21.43463,-29.78,-29.78,8.94,8.94
38.500000,-9.53,-9.52,21.57824,-31.11,-31.10,7.78,7.78
39.000000,-10.74,-10.74,21.59140,-32.33,-32.33,6.84,6.84
39.500000,-12.77,-12.78,21.76028,-34.53,-34.54,5.38,5.37
39.799112,-14.09,-14.09,21.83663,-35.93,-35.92,4.62,4.62
40.000000,-14.69,-14.69,21.89330,-36.59,-36.59,4.30,4.30
!EndOfData: 2025-07-22T08:51:28Z
!Notes: The calibration file for actual calibrated output
!MD5: 0fce63f94ae7512dd536f093f59491f2
