!RNX Dual-Polarized Feed Calibration Data
!Created: 20250722T091028ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 12.47576 GHz
!  Stop: 17.545861 GHz
!  Step: FREQLIST GHz
!  Points: 13
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: REF_POWER-30.0dBm
12.475760,-25.27,-25.27,12.15972,-37.43,-37.43,1.22,1.22
12.624490,-24.70,-24.71,12.11217,-36.81,-36.82,1.32,1.32
13.170800,-26.60,-26.59,11.87820,-38.48,-38.47,1.14,1.14
13.360197,-26.58,-26.59,11.99533,-38.58,-38.58,1.14,1.14
13.918437,-27.55,-27.52,12.29154,-39.84,-39.81,1.03,1.03
14.154209,-28.02,-28.01,12.58849,-40.61,-40.60,0.96,0.96
14.723743,-29.24,-29.26,12.97242,-42.21,-42.23,0.83,0.83
15.012421,-30.08,-30.07,13.14825,-43.23,-43.22,0.75,0.75
15.592385,-29.49,-29.51,13.88963,-43.38,-43.40,0.77,0.76
15.941456,-30.41,-30.29,14.11886,-44.53,-44.41,0.69,0.70
16.530715,-30.19,-30.03,14.73334,-44.93,-44.77,0.68,0.69
16.948774,-30.55,-30.51,14.75057,-45.30,-45.26,0.67,0.67
17.545861,-29.03,-29.03,16.49050,-45.52,-45.52,0.67,0.67
!EndOfData: 2025-07-22T09:10:35Z
!Notes: The calibration file for actual calibrated output
!MD5: 765ab649e781af6b6f489b793d38ef68
