!RNX Dual-Polarized Feed Calibration Data
!Created: 20250722T090803ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 12.47576 GHz
!  Stop: 17.545861 GHz
!  Step: FREQLIST GHz
!  Points: 13
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: REF_POWER-5.0dBm
12.475760,-0.27,-0.27,12.15972,-12.43,-12.42,21.64,21.65
12.624490,-0.79,-0.79,12.11217,-12.90,-12.90,20.74,20.74
13.170800,-2.32,-2.32,11.87820,-14.19,-14.19,18.64,18.65
13.360197,-1.79,-1.79,11.99533,-13.79,-13.78,19.83,19.83
13.918437,-3.36,-3.36,12.29154,-15.65,-15.65,16.66,16.66
14.154209,-4.04,-4.04,12.58849,-16.63,-16.63,15.14,15.14
14.723743,-5.57,-5.57,12.97242,-18.54,-18.54,12.64,12.64
15.012421,-6.37,-6.37,13.14825,-19.52,-19.52,11.51,11.52
15.592385,-5.27,-5.27,13.88963,-19.16,-19.16,12.46,12.46
15.941456,-6.81,-6.80,14.11886,-20.92,-20.92,10.40,10.40
16.530715,-6.26,-6.26,14.73334,-20.99,-20.99,10.70,10.70
16.948774,-6.24,-6.23,14.75057,-20.99,-20.98,10.98,10.98
17.545861,-5.05,-5.05,16.49050,-21.54,-21.54,10.66,10.66
!EndOfData: 2025-07-22T09:08:10Z
!Notes: The calibration file for actual calibrated output
!MD5: a8c7460205131e2e610a9e50c591cc1f
