!RNX Dual-Polarized Feed Calibration Data
!Created: 20250722T084050ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 18.042799 GHz
!  Stop: 26.5 GHz
!  Step: FREQLIST GHz
!  Points: 20
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: REF_POWER-20.0dBm
18.042799,-20.28,-20.28,16.76833,-37.04,-37.04,1.84,1.84
18.645848,-19.53,-19.53,17.26058,-36.79,-36.79,1.96,1.96
19.233068,-19.34,-19.34,17.46746,-36.81,-36.81,2.02,2.02
19.500000,-19.90,-19.89,17.35469,-37.25,-37.25,1.94,1.94
19.839727,-20.12,-20.12,17.27056,-37.39,-37.39,1.94,1.95
20.000000,-20.74,-20.74,17.28432,-38.03,-38.02,1.82,1.82
20.530405,-20.71,-20.70,17.60462,-38.31,-38.31,1.81,1.81
21.137731,-20.80,-20.80,18.04012,-38.84,-38.84,1.75,1.75
21.500000,-21.08,-21.08,18.23102,-39.31,-39.31,1.69,1.69
21.947126,-21.19,-21.19,18.30437,-39.49,-39.49,1.69,1.69
22.551463,-22.32,-22.32,18.48819,-40.81,-40.81,1.49,1.49
23.000000,-22.40,-22.39,18.61985,-41.02,-41.01,1.48,1.49
23.497291,-22.85,-22.85,18.73046,-41.58,-41.58,1.42,1.42
24.094111,-23.29,-23.29,19.08138,-42.37,-42.37,1.33,1.33
24.500000,-22.87,-22.87,19.23796,-42.11,-42.11,1.39,1.39
25.000000,-24.25,-24.25,19.11632,-43.37,-43.37,1.23,1.23
25.196992,-23.14,-23.14,19.06339,-42.21,-42.21,1.42,1.42
25.780710,-24.21,-24.21,19.09141,-43.30,-43.31,1.28,1.28
26.000000,-23.27,-23.27,19.16623,-42.44,-42.44,1.43,1.43
26.500000,-23.99,-23.99,19.29307,-43.29,-43.28,1.32,1.32
!EndOfData: 2025-07-22T08:40:57Z
!Notes: The calibration file for actual calibrated output
!MD5: a6095678994951fc8bbaa3fa8a3b5217
