!RNX Dual-Polarized Feed Calibration Data
!Created: 20250722T084120ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 18.042799 GHz
!  Stop: 26.5 GHz
!  Step: FREQLIST GHz
!  Points: 20
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: REF_POWER0.0dBm
18.042799,-0.92,-0.92,16.76833,-17.69,-17.68,17.08,17.09
18.645848,-0.15,-0.15,17.26058,-17.41,-17.41,18.23,18.24
19.233068,0.06,0.06,17.46746,-17.41,-17.41,18.81,18.81
19.500000,-0.42,-0.42,17.35469,-17.78,-17.77,18.27,18.28
19.839727,-0.61,-0.61,17.27056,-17.88,-17.88,18.37,18.37
20.000000,-1.25,-1.25,17.28432,-18.54,-18.53,17.17,17.18
20.530405,-1.25,-1.24,17.60462,-18.85,-18.85,17.00,17.01
21.137731,-1.37,-1.36,18.04012,-19.41,-19.40,16.42,16.43
21.500000,-1.56,-1.56,18.23102,-19.80,-19.79,15.97,15.98
21.947126,-1.61,-1.61,18.30437,-19.92,-19.91,16.08,16.08
22.551463,-2.59,-2.59,18.48819,-21.08,-21.08,14.44,14.45
23.000000,-2.73,-2.73,18.61985,-21.35,-21.35,14.29,14.29
23.497291,-3.39,-3.39,18.73046,-22.12,-22.12,13.35,13.35
24.094111,-3.48,-3.47,19.08138,-22.56,-22.56,13.02,13.03
24.500000,-3.35,-3.34,19.23796,-22.58,-22.58,13.20,13.21
25.000000,-4.65,-4.65,19.11632,-23.76,-23.76,11.76,11.76
25.196992,-3.45,-3.45,19.06339,-22.52,-22.52,13.68,13.68
25.780710,-4.66,-4.66,19.09141,-23.75,-23.75,12.15,12.15
26.000000,-3.74,-3.74,19.16623,-22.91,-22.91,13.50,13.50
26.500000,-4.45,-4.45,19.29307,-23.75,-23.74,12.49,12.50
!EndOfData: 2025-07-22T08:41:28Z
!Notes: The calibration file for actual calibrated output
!MD5: 449f2c13a8722a7858ecbf5370fcedbd
