!RNX Dual-Polarized Feed Calibration Data
!Created: 20250722T080524ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 18.042799 GHz
!  Stop: 26.5 GHz
!  Step: FREQLIST GHz
!  Points: 20
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: REF_POWER-20.0dBm
18.042799,-20.02,-20.02,16.76833,-36.78,-36.78,1.90,1.90
18.645848,-19.42,-19.41,17.26058,-36.68,-36.67,1.98,1.98
19.233068,-18.42,-18.43,17.46746,-35.89,-35.89,2.24,2.24
19.500000,-19.30,-19.30,17.35469,-36.66,-36.65,2.08,2.08
19.839727,-19.89,-19.89,17.27056,-37.16,-37.16,2.00,2.00
20.000000,-20.15,-20.15,17.28432,-37.43,-37.43,1.95,1.95
20.530405,-20.36,-20.36,17.60462,-37.96,-37.96,1.88,1.88
21.137731,-20.98,-20.98,18.04012,-39.02,-39.02,1.72,1.72
21.500000,-21.61,-21.61,18.23102,-39.85,-39.84,1.59,1.59
21.947126,-21.31,-21.31,18.30437,-39.62,-39.62,1.66,1.66
22.551463,-21.30,-21.30,18.48819,-39.79,-39.79,1.68,1.68
23.000000,-22.30,-22.30,18.61985,-40.92,-40.92,1.50,1.50
23.497291,-23.08,-23.08,18.73046,-41.81,-41.81,1.38,1.38
24.094111,-23.17,-23.17,19.08138,-42.25,-42.25,1.35,1.35
24.500000,-22.44,-22.44,19.23796,-41.68,-41.68,1.47,1.47
25.000000,-23.47,-23.47,19.11632,-42.59,-42.59,1.35,1.35
25.196992,-24.39,-24.39,19.06339,-43.46,-43.46,1.23,1.23
25.780710,-24.07,-24.07,19.09141,-43.16,-43.16,1.30,1.30
26.000000,-23.35,-23.35,19.16623,-42.52,-42.52,1.41,1.41
26.500000,-24.37,-24.36,19.29307,-43.66,-43.66,1.26,1.26
!EndOfData: 2025-07-22T08:05:32Z
!Notes: The calibration file for actual calibrated output
!MD5: 3356fdd9df285aeb021834f8fe6e5353
