!RNX Dual-Polarized Feed Calibration Data
!Created: 20250722T080607ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 18.042799 GHz
!  Stop: 26.5 GHz
!  Step: FREQLIST GHz
!  Points: 20
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: REF_POWER0.0dBm
18.042799,-0.67,-0.67,16.76833,-17.44,-17.43,17.59,17.59
18.645848,-0.04,-0.04,17.26058,-17.30,-17.30,18.46,18.46
19.233068,0.96,0.97,17.46746,-16.50,-16.50,20.87,20.88
19.500000,0.14,0.15,17.35469,-17.21,-17.21,19.50,19.51
19.839727,-0.39,-0.39,17.27056,-17.66,-17.66,18.84,18.85
20.000000,-0.70,-0.69,17.28432,-17.98,-17.98,18.31,18.31
20.530405,-0.89,-0.88,17.60462,-18.49,-18.49,17.72,17.73
21.137731,-1.56,-1.56,18.04012,-19.60,-19.60,16.05,16.06
21.500000,-2.11,-2.11,18.23102,-20.34,-20.34,15.00,15.00
21.947126,-1.77,-1.76,18.30437,-20.07,-20.07,15.80,15.80
22.551463,-1.60,-1.60,18.48819,-20.09,-20.08,16.20,16.20
23.000000,-2.67,-2.66,18.61985,-21.29,-21.28,14.39,14.39
23.497291,-3.66,-3.65,18.73046,-22.39,-22.39,12.95,12.96
24.094111,-3.38,-3.38,19.08138,-22.46,-22.46,13.17,13.17
24.500000,-2.94,-2.93,19.23796,-22.17,-22.17,13.84,13.84
25.000000,-3.89,-3.89,19.11632,-23.01,-23.01,12.83,12.83
25.196992,-4.75,-4.74,19.06339,-23.81,-23.81,11.79,11.79
25.780710,-4.54,-4.53,19.09141,-23.63,-23.63,12.32,12.32
26.000000,-3.86,-3.85,19.16623,-23.02,-23.02,13.32,13.32
26.500000,-4.85,-4.85,19.29307,-24.14,-24.14,11.93,11.93
!EndOfData: 2025-07-22T08:06:15Z
!Notes: The calibration file for actual calibrated output
!MD5: 6319709c713de233bfdb8cf87849f20d
