!RNX Dual-Polarized Feed Calibration Data
!Created: 20250728T094434ZZ
!Operator: Default
!Base Parameters:
!  Reference_Power: -10.0_-5.0 dBm
!  Polarization: DUAL
!  Distance: 1.0 m
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 8.0 GHz
!  Stop: 40.0 GHz
!  Step: FreqList GHz
!  Points: 324
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
!  9: Reference_Power(dBm)
! 10: Polarization
!VersionNotes: Merged calibration file from multiple sources
!BaseParams: {"ref_power": "-10.0_-5.0", "polarization": "DUAL", "distance": 1.0, "operator": "SYSTEM"}
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M,Reference_Power,Polarization
8.000000,4.25,4.25,12.07061,-7.82,-7.82,23.58,23.60,-10.00,DUAL
8.100000,4.45,4.27,12.15348,-7.70,-7.88,24.22,23.72,-10.00,DUAL
8.200000,4.55,4.06,12.29322,-7.74,-8.23,24.40,23.06,-10.00,DUAL
8.300000,4.17,4.04,12.57546,-8.41,-8.53,22.87,22.55,-10.00,DUAL
8.400000,4.14,3.69,12.64571,-8.50,-8.95,22.90,21.74,-10.00,DUAL
8.500000,3.70,3.35,12.86192,-9.16,-9.51,21.47,20.64,-10.00,DUAL
8.600000,2.95,2.74,12.89488,-9.94,-10.15,19.86,19.39,-10.00,DUAL
8.700000,2.31,2.58,13.02393,-10.72,-10.45,18.38,18.96,-10.00,DUAL
8.800000,2.45,2.11,12.97648,-10.53,-10.87,19.00,18.28,-10.00,DUAL
8.900000,2.04,1.79,12.92422,-10.89,-11.13,18.44,17.93,-10.00,DUAL
9.000000,1.66,1.16,12.88293,-11.22,-11.72,17.94,16.94,-10.00,DUAL
9.100000,0.91,1.10,12.76733,-11.86,-11.66,16.86,17.24,-10.00,DUAL
9.200000,0.63,0.08,12.65641,-12.03,-12.58,16.72,15.69,-10.00,DUAL
9.300000,0.00,-0.14,12.60949,-12.61,-12.75,15.80,15.54,-10.00,DUAL
9.400000,-0.30,-0.23,12.59898,-12.90,-12.83,15.45,15.57,-10.00,DUAL
9.500000,-0.52,-0.58,12.66496,-13.18,-13.25,15.11,15.00,-10.00,DUAL
9.600000,-0.92,-1.64,12.57026,-13.49,-14.21,14.73,13.57,-10.00,DUAL
9.700000,-1.96,-2.12,12.47843,-14.44,-14.59,13.35,13.11,-10.00,DUAL
9.800000,-2.19,-1.99,12.19945,-14.39,-14.19,13.57,13.88,-10.00,DUAL
9.900000,-2.38,-2.24,11.91773,-14.30,-14.15,13.85,14.08,-10.00,DUAL
10.000000,-2.59,-3.04,11.68189,-14.28,-14.72,14.03,13.32,-10.00,DUAL
10.100000,-3.27,-3.20,11.55909,-14.82,-14.76,13.30,13.39,-10.00,DUAL
10.200000,-3.67,-3.66,11.51350,-15.19,-15.18,12.88,12.89,-10.00,DUAL
10.300000,-3.60,-3.40,11.56291,-15.17,-14.96,13.04,13.35,-10.00,DUAL
10.400000,-3.15,-3.25,11.66611,-14.82,-14.92,13.70,13.54,-10.00,DUAL
10.500000,-3.11,-3.32,11.96655,-15.08,-15.29,13.43,13.11,-10.00,DUAL
10.600000,-3.46,-3.36,12.06802,-15.53,-15.42,12.87,13.02,-10.00,DUAL
10.700000,-3.66,-3.71,12.31945,-15.98,-16.03,12.34,12.27,-10.00,DUAL
10.800000,-3.54,-3.07,12.24393,-15.78,-15.32,12.73,13.44,-10.00,DUAL
10.900000,-2.85,-3.55,12.30507,-15.15,-15.85,13.82,12.75,-10.00,DUAL
11.000000,-3.40,-3.20,12.09616,-15.49,-15.29,13.41,13.72,-10.00,DUAL
11.100000,-3.68,-3.56,11.96921,-15.65,-15.53,13.29,13.47,-10.00,DUAL
11.200000,-4.10,-4.05,11.75255,-15.85,-15.80,13.10,13.18,-10.00,DUAL
11.300000,-4.04,-4.06,11.56459,-15.61,-15.62,13.60,13.57,-10.00,DUAL
11.400000,-3.76,-3.74,11.56058,-15.32,-15.30,14.18,14.21,-10.00,DUAL
11.500000,-3.85,-3.54,11.58427,-15.43,-15.12,14.12,14.63,-10.00,DUAL
11.600000,-3.65,-3.37,11.71408,-15.36,-15.08,14.35,14.82,-10.00,DUAL
11.700000,-3.76,-3.73,11.72845,-15.49,-15.46,14.26,14.32,-10.00,DUAL
11.800000,-3.85,-3.51,11.82461,-15.67,-15.34,14.09,14.64,-10.00,DUAL
11.900000,-4.00,-3.79,11.94676,-15.95,-15.74,13.77,14.10,-10.00,DUAL
12.000000,0.43,0.40,11.97460,-11.55,-11.58,23.04,22.96,-5.00,DUAL
12.100000,0.50,0.55,12.11920,-11.62,-11.56,23.05,23.19,-5.00,DUAL
12.200000,0.26,1.26,12.11828,-11.85,-10.86,22.61,25.35,-5.00,DUAL
12.300000,0.79,0.81,12.24810,-11.46,-11.43,23.85,23.93,-5.00,DUAL
12.400000,1.13,0.60,12.15021,-11.02,-11.55,25.31,23.80,-5.00,DUAL
12.500000,0.42,0.12,12.16276,-11.74,-12.04,23.47,22.67,-5.00,DUAL
12.600000,0.19,0.25,12.11651,-11.92,-11.87,23.17,23.31,-5.00,DUAL
12.700000,0.15,0.12,12.09880,-11.95,-11.98,23.27,23.20,-5.00,DUAL
12.800000,0.31,-0.58,12.11899,-11.81,-12.70,23.83,21.52,-5.00,DUAL
12.900000,0.06,-0.82,12.03210,-11.97,-12.85,23.58,21.32,-5.00,DUAL
13.000000,-0.37,-0.46,12.03451,-12.40,-12.49,22.62,22.39,-5.00,DUAL
13.100000,-0.28,-0.39,11.90105,-12.18,-12.29,23.38,23.10,-5.00,DUAL
13.200000,-0.56,-0.89,11.86877,-12.43,-12.76,22.90,22.05,-5.00,DUAL
13.300000,-0.39,-1.34,11.92274,-12.32,-13.27,23.37,20.95,-5.00,DUAL
13.400000,-0.50,-0.93,12.04333,-12.55,-12.98,22.94,21.83,-5.00,DUAL
13.500000,-0.82,-1.13,12.22825,-13.04,-13.35,21.82,21.05,-5.00,DUAL
