!RNX Dual-Polarized Feed Calibration Data
!Created: 20250720T043135ZZ
!Operator: SYSTEM
!Equipment:
!  Signal_Generator: DEFAULT_SG_SN:SN00000
!  Spectrum_Analyzer: DEFAULT_SA_SN:SN00000
!  Antenna: DEFAULT_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 8.0 GHz
!  Stop: 40.0 GHz
!  Step: 0.1 GHz
!  Points: 81
!Data Columns:
!  1: Frequency(GHz)
!  2: X_Theta(dB)
!  3: X_Phi(dB)
!  4: Ku_Theta(dB)
!  5: Ku_Phi(dB)
!  6: K_Theta(dB)
!  7: K_Phi(dB)
!  8: Ka_Theta(dB)
!  9: Ka_Phi(dB)
Frequency(GHz),X_Theta,X_Phi,Ku_Theta,Ku_Phi,K_Theta,K_Phi,Ka_Theta,Ka_Phi
!VersionNotes: 系统生成的默认校准文件（所有参数为0） [自定义频点]
8.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.309071,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.348568,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.728139,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.750349,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.753542,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.175874,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.185137,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.645575,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.654768,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.113841,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.137307,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.167581,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.663038,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.717369,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.225756,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.307529,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.828772,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.941833,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.475760,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.624490,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.170800,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.360197,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.918437,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.154209,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.723743,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.012421,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.592385,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.941456,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
16.530715,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
16.948774,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
17.545861,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
18.042799,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
