!RNX Dual-Polarized Feed Calibration Data,,,,,,,
!Created: 20250721T124114ZZ,,,,,,,
!Operator: SYSTEM,,,,,,,
!Equipment:,,,,,,,
!  Signal_Generator: PLASG-T8G40G_SN:SN00000,,,,,,,
!  Spectrum_Analyzer: NRP50S_SN:SN00000,,,,,,,
!  Antenna: RNX_ANT_SN:SN00000,,,,,,,
!Environment: 25.0C, 50.0%RH,,,,,,
!Frequency:,,,,,,,
!  Start: 8 GHz,,,,,,,
!  Stop: 10 GHz,,,,,,,
!  Step: 0.1 GHz,,,,,,,
!  Points: 21,,,,,,,
!Data Columns:,,,,,,,
!  1: Frequency(GHz),,,,,,,
!  2: Theta(dB),,,,,,,
!  3: Phi(dB),,,,,,,
!  4: Horn_Gain(GHz),,,,,,,
!  5: Theta_corrected(dB),,,,,,,
!  6: Phi_corrected(dB),,,,,,,
!  7: Theta_corrected_V/M(dB),,,,,,,
!  8: Phi_corrected_V/M(dB),,,,,,,
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: 系统生成的默认校准文�?,,,,,,,
8,0,0,0,1,1,0,0
8.1,0,0,0,2,2,0,0
8.2,0,0,0,3,3,0,0
8.3,0,0,0,1,1,0,0
8.4,0,0,0,2,2,0,0
8.5,0,0,0,3,3,0,0
8.6,0,0,0,1,1,0,0
8.7,0,0,0,2,2,0,0
8.8,0,0,0,3,3,0,0
8.9,0,0,0,1,1,0,0
9,0,0,0,2,2,0,0
9.1,0,0,0,3,3,0,0
9.2,0,0,0,1,1,0,0
9.3,0,0,0,2,2,0,0
9.4,0,0,0,3,3,0,0
9.5,0,0,0,1,1,0,0
9.6,0,0,0,2,2,0,0
9.7,0,0,0,3,3,0,0
9.8,0,0,0,1,1,0,0
9.9,0,0,0,2,2,0,0
10,0,0,0,3,3,0,0
!EndOfData: 2025-07-21T12:41:14Z,,,,,,,
!Notes: 系统自动生成的默认校准文�?,,,,,,,
!MD5: 65b864ce3c67a58ec827739729e8b307,,,,,,,
