!RNX Dual-Polarized Feed Calibration Data
!Created: 20250709T114702ZZ
!Operator: SYSTEM
!Equipment:
!  Signal_Generator: DEFAULT_SG_SN:SN00000
!  Spectrum_Analyzer: DEFAULT_SA_SN:SN00000
!  Antenna: DEFAULT_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 8 GHz
!  Stop: 40 GHz
!  Step: 0.01 GHz
!  Points: 3201
!Data Columns:
!  1: Frequency(GHz)
!  2: X_Theta(dB)
!  3: X_Phi(dB)
!  4: Ku_Theta(dB)
!  5: Ku_Phi(dB)
!  6: K_Theta(dB)
!  7: K_Phi(dB)
!  8: Ka_Theta(dB)
!  9: Ka_Phi(dB)
Frequency(GHz),X_Theta,X_Phi,Ku_Theta,Ku_Phi,K_Theta,K_Phi,Ka_Theta,Ka_Phi
!VersionNotes: 系统生成的默认校准文件（所有参数为0）
8.020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.030,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.040,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.050,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.060,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.070,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.080,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.090,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.100,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.110,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.120,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.130,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.140,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.150,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.160,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.170,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.180,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.190,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.200,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.210,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.220,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.230,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.240,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.250,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.260,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.270,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.280,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.290,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.300,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.310,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.320,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.330,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.340,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.350,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.360,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.370,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.380,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.390,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.400,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.410,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.420,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.430,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.440,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.450,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.460,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.470,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.480,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.490,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.500,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.510,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.520,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.530,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.540,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.550,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.560,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.570,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.580,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.590,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.600,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.610,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.620,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.630,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.640,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.650,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.660,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.670,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.680,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.690,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.700,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.710,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.720,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.730,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.740,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.750,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.760,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.770,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.780,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.790,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.800,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.810,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.820,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.830,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.840,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.850,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.860,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.870,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.880,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
