!RNX Dual-Polarized Feed Calibration Data
!Created: 20250722T085948ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 8.0 GHz
!  Stop: 11.941833 GHz
!  Step: FREQLIST GHz
!  Points: 19
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: REF_POWER-20.0dBm
8.000000,-7.31,-7.31,12.07061,-19.38,-19.38,6.23,6.23
8.309071,-8.08,-8.08,12.58183,-20.66,-20.66,5.59,5.59
8.348568,-8.05,-8.05,12.60958,-20.66,-20.66,5.61,5.61
8.728139,-8.93,-8.93,13.01058,-21.94,-21.94,5.07,5.07
8.750349,-8.64,-8.64,13.00004,-21.64,-21.64,5.25,5.25
8.753542,-8.65,-8.65,12.99852,-21.65,-21.65,5.25,5.25
9.175874,-10.33,-10.33,12.68317,-23.01,-23.01,4.71,4.71
9.185137,-10.37,-10.38,12.67290,-23.05,-23.05,4.69,4.69
9.645575,-12.34,-12.34,12.52841,-24.87,-24.87,4.00,4.00
9.654768,-12.41,-12.41,12.51997,-24.93,-24.93,3.97,3.97
10.113841,-13.84,-13.84,11.55278,-25.39,-25.39,3.94,3.94
10.137307,-13.98,-13.98,11.54208,-25.52,-25.52,3.90,3.90
10.167581,-14.62,-14.62,11.52828,-26.15,-26.15,3.63,3.64
10.663038,-13.94,-13.95,12.22652,-26.17,-26.17,3.80,3.80
10.717369,-13.99,-13.99,12.30633,-26.30,-26.30,3.77,3.76
11.225756,-14.57,-14.57,11.70414,-26.28,-26.28,3.95,3.95
11.307529,-15.27,-15.27,11.56429,-26.83,-26.83,3.74,3.74
11.828772,-14.79,-14.79,11.85975,-26.65,-26.65,3.99,3.99
11.941833,-14.30,-14.30,11.95841,-26.26,-26.26,4.21,4.21
!EndOfData: 2025-07-22T08:59:55Z
!Notes: The calibration file for actual calibrated output
!MD5: c99180e97dba575845256d1d7c1d81e0
