!RNX Dual-Polarized Feed Calibration Data
!Created: 20250722T090332ZZ
!Operator: 操作员名称
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 8.0 GHz
!  Stop: 11.941833 GHz
!  Step: FREQLIST GHz
!  Points: 19
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M
!VersionNotes: REF_POWER-20.0dBm
8.000000,-8.18,-8.18,12.07061,-20.25,-20.25,5.64,5.64
8.309071,-7.76,-7.76,12.58183,-20.34,-20.34,5.80,5.80
8.348568,-8.52,-8.52,12.60958,-21.13,-21.13,5.32,5.32
8.728139,-9.59,-9.59,13.01058,-22.60,-22.60,4.69,4.69
8.750349,-9.86,-9.86,13.00004,-22.86,-22.86,4.57,4.57
8.753542,-9.90,-9.90,12.99852,-22.90,-22.90,4.55,4.55
9.175874,-10.99,-10.99,12.68317,-23.68,-23.68,4.36,4.36
9.185137,-11.01,-11.01,12.67290,-23.68,-23.68,4.36,4.36
9.645575,-12.30,-12.30,12.52841,-24.83,-24.83,4.01,4.01
9.654768,-12.28,-12.28,12.51997,-24.80,-24.80,4.03,4.03
10.113841,-13.02,-13.02,11.55278,-24.57,-24.57,4.33,4.33
10.137307,-13.46,-13.46,11.54208,-25.00,-25.00,4.14,4.14
10.167581,-13.93,-13.93,11.52828,-25.45,-25.46,3.94,3.94
10.663038,-14.47,-14.48,12.22652,-26.70,-26.70,3.58,3.58
10.717369,-14.76,-14.76,12.30633,-27.07,-27.06,3.45,3.45
11.225756,-14.12,-14.12,11.70414,-25.82,-25.82,4.17,4.17
11.307529,-14.94,-14.94,11.56429,-26.50,-26.50,3.88,3.88
11.828772,-15.41,-15.41,11.85975,-27.27,-27.27,3.72,3.72
11.941833,-14.96,-14.95,11.95841,-26.91,-26.91,3.91,3.91
!EndOfData: 2025-07-22T09:03:41Z
!Notes: The calibration file for actual calibrated output
!MD5: aca6f3c259f1f3d4a8a1e42230b07b78
