FREQ(GHz),gain
18.07478224,16.76832598
18.18929254,16.87964713
18.31315063,16.98256669
18.43700871,17.08338584
18.56086679,17.184205
18.68238793,17.29342575
18.80624602,17.4026465
18.94646272,17.48456207
19.09602719,17.50346566
19.24792862,17.46355808
19.39983004,17.39634531
19.55640535,17.33123293
19.71765456,17.28292376
19.88357765,17.26612056
20.04482685,17.29132535
20.19205439,17.35853812
20.32526025,17.44885528
20.45612917,17.54757404
20.58466114,17.6462928
20.71085617,17.74501155
20.83938815,17.84162991
20.97259401,17.93404747
21.11047376,18.02226423
21.24835352,18.11258139
21.39090716,18.19239656
21.54514553,18.24700693
21.71106862,18.27641252
21.87932866,18.29321571
22.04525175,18.3205209
22.20416401,18.36462928
22.35840238,18.41923966
22.51497769,18.47595043
22.67155301,18.52846041
22.83280221,18.57676959
22.99405141,18.61877757
23.15763756,18.64818315
23.32356065,18.67758874
23.48247291,18.72379752
23.63203739,18.79101029
23.76991714,18.87292586
23.90545995,18.96324302
24.04333971,19.05145978
24.18589335,19.13547574
24.33545783,19.20478891
24.49437009,19.2383953
24.65561929,19.2257929
24.81453155,19.17958412
24.97110686,19.12497375
25.13235607,19.07666457
25.29594221,19.04305818
25.46186531,19.03465658
25.6277884,19.05356018
25.7890376,19.09346776
25.94794986,19.14597774
26.10452518,19.20688931
26.26110049,19.26780088
26.42234969,19.30140727
26.57892501,19.28460407
26.73082643,19.2257929
26.87805396,19.15437933
27.02995539,19.09136736
27.19120459,19.04305818
27.35712768,19.01365259
27.52538772,19.0031506
27.69364776,19.0073514
27.8619078,19.01785339
28.02783089,19.03255619
28.19609093,19.04725898
28.36435097,19.06616257
28.53027406,19.09556816
28.69152326,19.13757614
28.85043552,19.19008612
29.00701083,19.24889729
29.15657531,19.31821046
29.3014659,19.39382483
29.45103038,19.4589372
29.61227958,19.50094518
29.78053962,19.51774837
29.94879966,19.52614997
30.1170597,19.53875236
30.28531974,19.54505356
30.44890588,19.52825037
30.60080731,19.47784079
30.7456979,19.39592523
30.89058849,19.31821046
31.04482685,19.27830288
31.208413,19.28040328
31.3743361,19.31190926
31.5355853,19.36021844
31.68982367,19.41692922
31.84172509,19.47994119
31.99596346,19.54505356
32.14786488,19.61016593
32.30210325,19.66897711
32.46101551,19.71308549
32.62460166,19.73408948
32.7928617,19.74249107
32.96112173,19.75719387
33.12470788,19.78659945
33.28362014,19.83280823
33.44019545,19.88741861
33.59443382,19.94622978
33.75100914,20.00714136
33.90291056,20.07225373
34.04780115,20.1457677
34.19269174,20.22348246
34.33524538,20.30119723
34.48013597,20.37681159
34.63203739,20.44402436
34.7886127,20.50493594
34.94285107,20.56794791
35.09007861,20.63936148
35.23496919,20.71917664
35.38687062,20.78428901
35.54578288,20.815795
35.70936902,20.8094938
35.87529212,20.78428901
36.04121521,20.75278303
36.20480136,20.72127704
36.37072445,20.70867465
36.53664755,20.72337744
36.69789675,20.76538542
36.84979817,20.8283974
36.99936265,20.89981096
37.14659018,20.97542533
37.28914383,21.0552405
37.42936053,21.13715606
37.56957723,21.21907162
37.71446781,21.29678639
37.8593584,21.37240076
38.01125983,21.43961353
38.16549819,21.5026255
38.32207351,21.55303508
38.48565966,21.57823987
38.65391969,21.57823987
38.82217973,21.57403907
38.99043977,21.58874186
39.14935203,21.63285024
39.30125345,21.69166142
39.45782877,21.74837219
39.62141491,21.79458097
39.78500106,21.83028775
39.95092416,21.85339214
39.92521776,21.89329973
