freq,Gain
1.1,-12.5239
1.2,-8.23227
1.3,-4.73467
1.4,-2.18976
1.5,0.12196
1.6,2.154733
1.7,3.14091
1.8,3.505182
1.9,4.308366
2,4.933292
2.1,6.158816
2.2,6.329941
2.3,6.573285
2.4,6.414398
2.5,6.588573
2.6,6.472491
2.7,6.591749
2.8,7.094959
2.9,7.523094
3,7.914224
3.1,8.040022
3.2,8.36358
3.3,8.555984
3.4,8.626274
3.5,8.860709
3.6,8.931945
3.7,9.099054
3.8,9.121553
3.9,9.288155
4,9.468431
4.1,9.461178
4.2,9.651739
4.3,9.6395833
4.4,10.01915
4.5,10.01583
4.6,9.957906
4.7,9.9940815
4.8,9.804508
4.9,9.68729
5,9.422275
5.1,9.376896
5.2,9.567119
5.3,9.738136
5.4,10.01372
5.5,10.20249
5.6,10.37225
5.7,10.37769
5.8,10.17759
5.9,10.02946
6,9.860133
6.1,9.851976
6.2,9.969564
6.3,10.1376
6.4,10.55748
6.5,10.7615
6.6,11.04108
6.7,11.1965
6.8,11.24223
6.9,11.37334
7,11.1343
7.1,11.17593
7.2,10.99814
7.3,11.05923
7.4,11.15071
7.5,11.44374
7.6,11.73357
7.7,11.80786
7.8,11.99446
7.9,11.95446
8,12.07061
8.1,12.15348
8.2,12.29322
8.3,12.57546
8.4,12.64571
8.5,12.86192
8.6,12.89488
8.7,13.02393
8.8,12.97648
8.9,12.92422
9,12.88293
9.1,12.76733
9.2,12.65641
9.3,12.60949
9.4,12.59898
9.5,12.66496
9.6,12.57026
9.7,12.47843
9.8,12.19945
9.9,11.91773
10,11.68189
10.1,11.55909
10.2,11.5135
10.3,11.56291
10.4,11.66611
10.5,11.96655
10.6,12.06802
10.7,12.31945
10.8,12.24393
10.9,12.30507
11,12.09616
11.1,11.96921
11.2,11.75255
11.3,11.56459
11.4,11.56058
11.5,11.58427
11.6,11.71408
11.7,11.72845
11.8,11.82461
11.9,11.94676
12,11.9746
12.1,12.1192
12.2,12.11828
12.3,12.2481
12.4,12.15021
12.5,12.16276
12.6,12.11651
12.7,12.0988
12.8,12.11899
12.9,12.0321
13,12.03451
13.1,11.90105
13.2,11.86877
13.3,11.92274
13.4,12.04333
13.5,12.22825
13.6,12.19744
13.7,12.20842
13.8,12.13763
13.9,12.2734
14,12.37179
14.1,12.49934
14.2,12.66379
14.3,12.75306
14.4,12.95304
14.5,12.98098
14.6,12.97743
14.7,12.9687
14.8,12.98435
14.9,13.09185
15,13.14193
15.1,13.19285
15.2,13.3636
15.3,13.60278
15.4,13.73027
15.5,13.87976
15.6,13.89044
15.7,13.96763
15.8,13.99089
15.9,14.08453
16,14.16735
16.1,14.25064
16.2,14.28856
16.3,14.46572
16.4,14.59189
16.5,14.72543
16.6,14.75118
16.7,14.8228
16.8,14.92307
16.9,15.09146
17,14.39255
17.1,15.74507
17.2,16.10714
17.3,16.26716
17.4,16.3999
17.5,16.47439
17.6,16.50951
17.7,16.42584
17.8,16.35579
17.9,16.37898
18,16.40049
18.1,16.49755
18.2,16.49072
18.3,16.67304
18.4,16.7907
18.5,16.94494
18.6,17.05681
18.7,17.02134
18.8,17.04972
18.9,16.95182
19,16.8447
19.1,16.75405
19.2,16.70731
19.3,16.8351
19.4,17.02982
19.5,17.17219
19.6,17.35782
19.7,17.25329
19.8,17.19813
19.9,16.95308
20,16.74987
